id,name,zip_code,county,full_address,geometry
B7013,"HURON CASTING, INC (BLUE DIAMOND STEEL CASTING)",48755,HURON,"7050  HARTLEY ST. & 125 STURM RD, PIGEON, MI","[-83.2624761, 43.82762659999999]"
N8253,LES SCHAPER,48755,HURON,"2167 CASEVILLE RD, PIGEON, MI","[-83.280002, 43.844821]"
M1959,SCHEURER HOSPITAL,48755,HURON,"170 N CASEVILLE RD, PIGEON, MI","[-83.27811109999999, 43.83433640000001]"
N4989,THE L J GASCHO FURNITURE CO,48755,HURON,"8308 HAIST RD, PIGEON, MI","[-83.3103987, 43.786064]"
N7278,THUMB TRUCK EQUIPMENT INC.,48755,HURON,"8305 GEIGER ROAD, PIGEON, MI","[-83.3104151, 43.7995385]"
N8162,CLAYTON UNIT CPF,48756,ARENAC,"COBRA - CLAYTON UNIT FACILITY, MELITA, MI","[-83.99558789999999, 44.1093153]"
B1989,"ADVANCED MICRONUTRIENT PRODUCTS, INC",48757,SAGINAW,"2405 W. VASSAR RD. (M-15), REESE, MI","[-83.76514069999999, 43.472316]"
P0917,"DAVE HAUSBECK TRUCKING, INC. (DHT)",48757,SAGINAW,"2695 WEST VASSAR ROAD, REESE, MI","[-83.753984, 43.4459318]"
P0619,DIETZEL AUTO BODY,48757,TUSCOLA,"11 S. BRADLEYVILLE, REESE, MI","[-83.621561, 43.493609]"
U79110044,DIETZEL AUTO BODY,48757,TUSCOLA,"11 BRADLEYVILLE ROAD, REESE, MI","[-83.621561, 43.493609]"
P0628,JEREMY FRAHM,48757,TUSCOLA,"8865 W. CARO ROAD, REESE, MI","[-83.65584679999999, 43.4505534]"
U791501839,JEREMY FRAHM HOGS,48757,TUSCOLA,"8685 WEST CARO ROAD, REESE, MI","[-83.6481838, 43.4502602]"
P0741,CONSUMERS ENERGY HURON COMPRESSOR STATION,48759,HURON,"9501 SEBEWAING ROAD, SEBEWAING, MI","[-83.3559472, 43.7274715]"
B2873,MICHIGAN SUGAR COMPANY  -  SEBEWAING FACTORY,48759,HURON,"763 N BECK ST, SEBEWAING, MI","[-83.446586, 43.73928189999999]"
P0500,SEBEWAING LIGHT AND WATER DEPARTMENT-BULB CRUSHER,48759,HURON,"350 PINE STREET, SEBEWAING, MI","[-83.4532495, 43.7404152]"
N2726,SEBEWAING LIGHT AND WATER DEPT.,48759,HURON,"350 PINE STREET, SEBEWAING, MI","[-83.4532495, 43.7404152]"
P0829,SEBEWAING LIGHT AND WATER DEPT.,48759,HURON,"120 WEST MAIN STREET, SEBEWAING, MI","[-83.4542343, 43.7324683]"
N5346,"MATTHEWS MILL, INC.",48761,IOSCO,"6400 E COUNTY LINE ROAD, SOUTH BRANCH, MI","[-83.8846403, 44.4642883]"
N8181,RIVERSIDE - NORTH BAY CPF,48762,ALCONA,"T28N-R7E, SE SW SW OF SEC 6, CALEDONIA TWP, MI","[-85.47880649999999, 42.8137228]"
N7901,TRENDWELL ANTRIM INC - WOLF CREEK CPF,48762,ALCONA,"NW NE SEC 20, CALEDONIA TWP, MI","[-99.9018131, 41.4925374]"
N6860,SAVOY ENERGY LP - BECK 1-7C,48762,ALCONA,"SPRUCE RD, NW NE NE SEC 7 CALEDONIA TWP, SPRUCE, MI","[-83.4596816, 44.844113]"
N1488,MINTH GROUP,48763,IOSCO,"905 CEDAR STREET, TAWAS CITY, MI","[-83.50377139999999, 44.2793339]"
N5477,R E GLANCY INC,48763,IOSCO,"124 M-55, TAWAS CITY, MI","[-83.5272799, 44.2803397]"
N5963,R E GLANCY INC,48763,IOSCO,"124 M-55, TAWAS CITY, MI","[-83.5272799, 44.2803397]"
N6355,"R.E. GLANCY, INC.",48763,IOSCO,"124 M-55, TAWAS CITY, MI","[-83.5272799, 44.2803397]"
A1744,"TAWAS PLATING COMPANY & TAWAS POWDER COATING, INC.",48763,IOSCO,"510 INDUSTRIAL AVENUE, TAWAS CITY, MI","[-83.52584379999999, 44.2640048]"
N5071,THE DANGLER GUYS,48763,IOSCO,"620 9TH AVE, TAWAS CITY, MI","[-83.5275772, 44.2617025]"
B4102,U S GYPSUM CO,48763,IOSCO,"1550 GYPSUM ROAD, TAWAS CITY, MI","[-83.5884615, 44.1949801]"
M4246,ZUBEK MOTOR FACILITIES,48763,IOSCO,"492 M55, TAWAS CITY, MI","[-83.5417478, 44.28045729999999]"
N6455,R E GLANCY INC,48766,ARENAC,"111 N WALKER RD  OMER QUARRY, TWINING, MI","[-83.84691260000001, 44.0807793]"
B4350,ASTECH INC,48768,TUSCOLA,"5512 SCOTCH RD, VASSAR, MI","[-83.56280819999999, 43.3658018]"
B2043,"TPOP, LLC VASSAR FOUNDRY",48768,TUSCOLA,"700 E. HURON AVE., VASSAR, MI","[-83.5728417, 43.3690141]"
B7748,TUSCOLA MINERALS CO,48768,TUSCOLA,"4702  SAGINAW RD, VASSAR, MI","[-83.5290291, 43.3636127]"
N1327,VASSAR COATINGS INC.,48768,TUSCOLA,"211 S SHERMAN ST, VASSAR, MI","[-83.57454229999999, 43.3678887]"
P0562,COBRA - STATE MARION & RIVERSIDE 14-36,48770,MISSAUKEE,"SW 1/4 OF NE/4, SECTION 36, T21N R7W, MCBAIN, MI","[-85.21337559999999, 44.1936227]"
N0369,NEAR'S INC,48770,IOSCO,"425 N BULLOCK, WHITTEMORE, MI","[-83.80372799999999, 44.2371484]"
N3188,RENO GAS PLANT,48770,IOSCO,"282 M-65, WHITTEMORE, MI","[-83.8029445, 44.2854515]"
N6260,"TAWAS WOOD PRODUCTS, LLC",48770,IOSCO,"6888 W WHITTEMORE, WHITTEMORE, MI","[-83.79100319999999, 44.2338187]"
B2487,ALMA PRODUCTS CO,48801,GRATIOT,"150 N COURT ST, ALMA, MI","[-84.6521291, 43.3758725]"
B4373,ALMA PRODUCTS I INC,48801,GRATIOT,"2000 MICHIGAN AVE, ALMA, MI","[-84.6331968, 43.3878377]"
N0904,AVALON & TAHOE MFG,48801,GRATIOT,"903 E MICHIGAN AVE, ALMA, MI","[-84.64822149999999, 43.3819159]"
A1337,CENTRAL CONCRETE,48801,GRATIOT,"1277 N. BRIDGE STREET, ALMA, MI","[-84.6082259, 43.3092109]"
M3582,"IAC GROUP, ALMA, LLC (FORMALLY LEAR CORPORATION)",48801,GRATIOT,"1965 WILLIAMS RD, ALMA, MI","[-84.6299262, 43.3870831]"
U291803460,LUCE ELEMENTARY SCHOOL,48801,GRATIOT,"6265 N LUCE RD, ALMA, MI","[-84.68876929999999, 43.3832156]"
