epa_class,srn,facility_name,address_line1,city,zip,county,egle_district,staff,address_full
MINOR,N5787,HERSEY GRAVEL,5800 W 2 MILE,HERSEY,49639,OSCEOLA,CADILLAC,DICKMANR,"5800 W 2 MILE, HERSEY, MI 49639"
SM OPT OUT,N5790,"REGAL FINISHING COMPANY, INC.",3927 BESSEMER RD,COLOMA,49038,BERRIEN,KALAMAZOO,DESKINSM,"3927 BESSEMER RD, COLOMA, MI 49038"
,N5793,WOLVERINE PAVING CO,5200 RIVERSIDE DR,IONIA,48851,IONIA,GRAND RAPIDS,GRINSTERNE,"5200 RIVERSIDE DR, IONIA, MI 48851"
MINOR,N5796,M-R VENTURES LLC,NE14 NW14 SEC 12 T19N R6E,AU GRES,48703,ARENAC,BAY CITY,BREWERK,"NE14 NW14 SEC 12 T19N R6E, AU GRES, MI 48703"
SM OPT OUT,N5798,CORE ENERGY LLC - CHESTER 10 CO2 RECOVERY,SW 1/4 SW 1/4 SEC 10 T29N R2W,CHESTER TWP,49735,OTSEGO,CADILLAC,DICKMANR,"SW 1/4 SW 1/4 SEC 10 T29N R2W, CHESTER TWP, MI 49735"
,N5800,MARSHALL EXCELSIOR COMPANY,1506 GEORGE BROWN DRIVE,MARSHALL,49068,CALHOUN,KALAMAZOO,CHAPELA,"1506 GEORGE BROWN DRIVE, MARSHALL, MI 49068"
,N5803,NAGEL PRECISION INC,288 DINO DR,ANN ARBOR,48103,WASHTENAW,JACKSON,KOVALCHICKM,"288 DINO DR, ANN ARBOR, MI 48103"
,N5804,HINES INDUSTRIES INC,793 AIRPORT BLVD,ANN ARBOR,48108,WASHTENAW,JACKSON,CARLEYB,"793 AIRPORT BLVD, ANN ARBOR, MI 48108"
,N5805,"NORTHERN PIZZA EQUIPMENT, INC.",8020 GRAND ST,DEXTER,48130,WASHTENAW,JACKSON,KOVALCHICKM,"8020 GRAND ST, DEXTER, MI 48130"
,N5807,CRESCIVE DIE AND TOOL,945 WOODLAND DR,SALINE,48176,WASHTENAW,JACKSON,KAVANAUGHD,"945 WOODLAND DR, SALINE, MI 48176"
MINOR,N5810,"ENDRESS+HAUSER OPTICAL ANALYSIS, INC.",371 PARKLAND PLAZA,ANN ARBOR,48103,WASHTENAW,JACKSON,KOVALCHICKM,"371 PARKLAND PLAZA, ANN ARBOR, MI 48103"
,N5811,LAIDLAW ENVIRONMENTAL INC ENCOTEC,3985 RESEARCH PARK DRIVE,ANN ARBOR,48108,WASHTENAW,JACKSON,ERICKSONG,"3985 RESEARCH PARK DRIVE, ANN ARBOR, MI 48108"
MINOR,N5812,THOMSON SHORE INC,7300 JOY RD,DEXTER,48130,WASHTENAW,JACKSON,KOVALCHICKM,"7300 JOY RD, DEXTER, MI 48130"
MINOR,N5813,UNITED STATES GEOLOGICAL SURVEY-DEPT. OF INTERIOR,1451 GREEN RD,ANN ARBOR,48105,WASHTENAW,JACKSON,KOVALCHICKM,"1451 GREEN RD, ANN ARBOR, MI 48105"
MAJOR,N5814,"ASAMA COLDWATER MANUFACTURING, INC.",180 ASAMA Parkway,COLDWATER,49036,BRANCH,KALAMAZOO,CHAPELA,"180 ASAMA Parkway, COLDWATER, MI 49036"
MINOR,N5815,FREIBORNE INDUSTRIES INC,15 SILVERDOME INDUSTRIAL PARK,PONTIAC,48342,OAKLAND,WARREN,DZIADOSZM,"15 SILVERDOME INDUSTRIAL PARK, PONTIAC, MI 48342"
MINOR,N5816,AGGREGATE & DEVELOPING LLC,1108 LINCOLN RD,ALLEGAN,49010,ALLEGAN,KALAMAZOO,YAZZIEC,"1108 LINCOLN RD, ALLEGAN, MI 49010"
MINOR,N5817,"AXSON REVOCOAT US, INC",2300 GAINSBORO AVE,FERNDALE,48220,OAKLAND,WARREN,BOGNARA1,"2300 GAINSBORO AVE, FERNDALE, MI 48220"
,N5818,"ELMER'S CRANE AND DOZER, INC.",1377 W. KASSON CENTER ROAD,MAPLE CITY,49664,LEELANAU,CADILLAC,CHILDSK,"1377 W. KASSON CENTER ROAD, MAPLE CITY, MI 49664"
MINOR,N5820,CONTROL ENGINEERING CO,8212 M 119 HWY,HARBOR SPGS,49740,EMMET,GAYLORD,RADULSKIR,"8212 M 119 HWY, HARBOR SPGS, MI 49740"
MINOR,N5821,HIGHMOUNT - BIG BASS LAKE,"T29N R2W SEC 11, Otsego Co.",CHESTER TWP,49751,OTSEGO,GAYLORD,ROGERSW,"T29N R2W SEC 11, Otsego Co., CHESTER TWP, MI 49751"
MINOR,E4191,KALAMAZOO VALLEY COMMUNITY COLLEGE,6767 WEST O AVENUE,OSHTEMO,49009,KALAMAZOO,KALAMAZOO,BROTHERSM,"6767 WEST O AVENUE, OSHTEMO, MI 49009"
MINOR,N5828,LEELANAU COUNTY ROAD COMMISSION,SEC 22 T28N R13W,MAPLE CITY,49664,LEELANAU,CADILLAC,OWENSC1,"SEC 22 T28N R13W, MAPLE CITY, MI 49664"
MINOR,N5829,"THYSSENKRUPP KRAUSE, INC",901 DORIS RD,AUBURN HILLS,48326,OAKLAND,WARREN,KALLUMKALS,"901 DORIS RD, AUBURN HILLS, MI 48326"
SM OPT OUT,N5830,"DCP MICHIGAN HOLDING, LLC- TURTLE LAKE FAC.",7755 TURTLE LAKE RD,JOHANNESBURG,49751,OTSEGO,CADILLAC,TORELLOG,"7755 TURTLE LAKE RD, JOHANNESBURG, MI 49751"
MAJOR,N5831,RIVERSIDE - WILDERNESS CO2 & HAYES 29 CPF,10875 Geronimo Trail,GAYLORD,49735,OTSEGO,CADILLAC,LINDGRENJ2,"10875 Geronimo Trail, GAYLORD, MI 49735"
MINOR,N5832,ACME MANUFACTURING COMPANY,650 W 12 Mile Rd,MADISON HTS,48017,OAKLAND,WARREN,AMERU,"650 W 12 Mile Rd, MADISON HTS, MI 48017"
MINOR,N5833,MCNIC PIPELINE AND PROCESSING COMPANY,5621 N BARLOW RD,SPRUCE,48762,ALCONA,GAYLORD,ROGERSW,"5621 N BARLOW RD, SPRUCE, MI 48762"
,N5835,PRECISION PREP & FINESSE,1470 IMLAY CITY RD,LAPEER,48446,LAPEER,LANSING,TERRYK,"1470 IMLAY CITY RD, LAPEER, MI 48446"
SM OPT OUT,N5836,BURTEK ENTERPRISES INC.,"50405,50325 PATRICIA Avenue",CHESTERFIELD,48051,MACOMB,WARREN,BOGNARA1,"50405,50325 PATRICIA Avenue, CHESTERFIELD, MI 48051"
MINOR,N5837,HAWORTH INC,5170 W PROGRESS DR,LUDINGTON,49431,MASON,CADILLAC,DICKMANR,"5170 W PROGRESS DR, LUDINGTON, MI 49431"
,N5838,INTERGLAS CORP,159 BRICKYARD RD BUILDING B,MANISTEE,49660,MANISTEE,CADILLAC,NIXONS,"159 BRICKYARD RD BUILDING B, MANISTEE, MI 49660"
MINOR,N5839,MYRTLE PARK CREMATORIUM,9619 NORTHLAND DR NE,ROCKFORD,49341,KENT,GRAND RAPIDS,COXM9,"9619 NORTHLAND DR NE, ROCKFORD, MI 49341"
MINOR,N5843,"HUSKY ENVELOPE PRODUCTS, INC",1225 E W MAPLE,WALLED LAKE,48390,OAKLAND,WARREN,KALLUMKALS,"1225 E W MAPLE, WALLED LAKE, MI 48390"
,N5844,AIR INDUSTRY SYSTEMS INC,30000 BECK RD,WIXOM,48393,OAKLAND,WARREN,KONANAHALLII,"30000 BECK RD, WIXOM, MI 48393"
MINOR,N5845,KASPER MACHINE CO,29275 STEPHENSON HWY,MADISON HTS,48071,OAKLAND,WARREN,AHAMMODS,"29275 STEPHENSON HWY, MADISON HTS, MI 48071"
MINOR,N5846,GRAPAR CORP,25133 FLANDERS,WARREN,48089,MACOMB,WARREN,KALLUMKALS,"25133 FLANDERS, WARREN, MI 48089"
MINOR,N5848,PREFIX CORPORATION,1400 S LIVERNOIS,ROCHESTER HLS,48307,OAKLAND,WARREN,BOGNARA1,"1400 S LIVERNOIS, ROCHESTER HLS, MI 48307"
MINOR,N5849,TARPON AUTOMATION & DESIGN CO,26692 GROESBECK HWY,WARREN,48089,MACOMB,WARREN,JOSEPHR4,"26692 GROESBECK HWY, WARREN, MI 48089"
MINOR,N5850,BROACHING MACHINE SPECIALTIES,25180 SEELEY,NOVI,48375,OAKLAND,WARREN,KONANAHALLII,"25180 SEELEY, NOVI, MI 48375"
,N5851,Q H METAL PRODUCTS INC,1666 E LINCOLN,MADISON HTS,48071,OAKLAND,WARREN,KONANAHALLII,"1666 E LINCOLN, MADISON HTS, MI 48071"
MINOR,N5852,BUSHINGS INC,1967 ROCHESTER INDUSTRIAL DR,ROCHESTER HLS,48309,OAKLAND,WARREN,KELLYK6,"1967 ROCHESTER INDUSTRIAL DR, ROCHESTER HLS, MI 48309"
MINOR,N5853,GREENBLENDZ,4520 Glenmeade Lane,AUBURN HILLS,48326,OAKLAND,WARREN,KELLYK6,"4520 Glenmeade Lane, AUBURN HILLS, MI 48326"
MINOR,N5855,DI COAT CORP,42900 W 9 MILE RD,NOVI,48375,OAKLAND,WARREN,KELLYK6,"42900 W 9 MILE RD, NOVI, MI 48375"
,N5856,GPM INDUSTRIES INC,428 W 22ND ST,HOLLAND,49423,OTTAWA,GRAND RAPIDS,,"428 W 22ND ST, HOLLAND, MI 49423"
MINOR,N5857,MANTEX CORPORATION,1800 METAMORA RD,OXFORD,48371,OAKLAND,WARREN,AMERU,"1800 METAMORA RD, OXFORD, MI 48371"
MINOR,N5859,DORT STEEL SERVICE,2610 N DORT HWY,FLINT,48501,GENESEE,LANSING,MCGEEND,"2610 N DORT HWY, FLINT, MI 48501"
,N5860,TM INC,200 QUALITY WAY,GRAND BLANC,48442,GENESEE,LANSING,MCGEEND,"200 QUALITY WAY, GRAND BLANC, MI 48442"
MINOR,N5861,CUL-MAC INDUSTRIES LLC,3720 S VENOY,WAYNE,48184,WAYNE,DETROIT,ACEVEDOJ1,"3720 S VENOY, WAYNE, MI 48184"
MINOR,N5862,INDUSTRIAL TECTONICS,7222 W HURON RIVER DR,DEXTER,48130,WASHTENAW,JACKSON,KOVALCHICKM,"7222 W HURON RIVER DR, DEXTER, MI 48130"
,N5863,DIVERSIFIED CHEMICAL TECHNOLOGIES INC,15477 and 15401 WOODROW WILSON,DETROIT,48238,WAYNE,DETROIT,HEMBENT,"15477 and 15401 WOODROW WILSON, DETROIT, MI 48238"
SM OPT OUT,N5864,"ADIENT US, LLC",49200 HALYARD DR,PLYMOUTH,48170,WAYNE,DETROIT,SANDOVALC,"49200 HALYARD DR, PLYMOUTH, MI 48170"
,N5865,MASCOTECH TUBULAR PRODUCTS INC,10769 PLAZA DR,WHITMORE LAKE,48189,LIVINGSTON,LANSING,MCGEEND,"10769 PLAZA DR, WHITMORE LAKE, MI 48189"
MAJOR,N5866,"METAL TECHNOLOGIES, INC., RAVENNA DUCTILE IRON",3800 Adams Road,RAVENNA,49451,MUSKEGON,GRAND RAPIDS,GRINSTERNE,"3800 Adams Road, RAVENNA, MI 49451"
MINOR,N5868,CHEBOYGAN CEMENT PRODUCTS INC,TRAILS END RD,MACKINAW CITY,49701,EMMET,GAYLORD,RADULSKIR,"TRAILS END RD, MACKINAW CITY, MI 49701"
MINOR,N5871,MILES PETROLEUM,8039 RANSOM RD,BRECKENRIDGE,48662,GRATIOT,LANSING,LUPLOWM1,"8039 RANSOM RD, BRECKENRIDGE, MI 48662"
MINOR,N5872,TAPEX AMERICAN CORP,2626 20TH ST,PORT HURON,48060,SAINT CLAIR,WARREN,DZIADOSZM,"2626 20TH ST, PORT HURON, MI 48060"
,N5873,CRYSTAL FLASH LTD PRTNRSHP OF MICHIGAN,2010 N MITCHELL,CADILLAC,,WEXFORD,CADILLAC,CHILDSK,
MINOR,N5875,SAGINAW WILBERT VAULT CORP,465 KING ST,HEMLOCK,48626,SAGINAW,BAY CITY,MCCANNG2,"465 KING ST, HEMLOCK, MI 48626"
SM OPT OUT,N5877,GILMORE INC.,321 TERMINAL ST SW,GRAND RAPIDS,49548,KENT,GRAND RAPIDS,LAZZAROA1,"321 TERMINAL ST SW, GRAND RAPIDS, MI 49548"
,N5881,CLARK REFINING & MARKETING,5 S FLETCHER RD,CHELSEA,48118,WASHTENAW,JACKSON,WHITES1,"5 S FLETCHER RD, CHELSEA, MI 48118"
,N5882,KITTY HAWK TURBINES,2765 N I 94 SERVICE DRIVE,YPSILANTI,48198,WASHTENAW,JACKSON,DURHAMZ,"2765 N I 94 SERVICE DRIVE, YPSILANTI, MI 48198"
MINOR,N5883,"CHRISTENSEN FIBERGLASS, LLC",126 ANILINE AVE,HOLLAND,49424,OTTAWA,GRAND RAPIDS,ROBINSONC17,"126 ANILINE AVE, HOLLAND, MI 49424"
MINOR,N5884,"RIVERSHORES BUILDING PRODUCTS, INC.",100 ANILINE AVE N,HOLLAND,49424,OTTAWA,GRAND RAPIDS,ROBINSONC17,"100 ANILINE AVE N, HOLLAND, MI 49424"
,N5885,UNITED FIXTURES COMPANY,7020 S THRID ST,NILES,49120,BERRIEN,KALAMAZOO,DESKINSM,"7020 S THRID ST, NILES, MI 49120"
MINOR,N5886,MERCURY DISPLACEMENT INDUSTRIES,25028 US 12 EAST,EDWARDSBURG,49112,CASS,KALAMAZOO,BENAWAYR,"25028 US 12 EAST, EDWARDSBURG, MI 49112"
,N5888,GRANGER SEYMOUR ROAD GENERATING STATION,13200 N SEYMOUR RD,MONTROSE,48439,GENESEE,LANSING,MYOTTB,"13200 N SEYMOUR RD, MONTROSE, MI 48439"
MINOR,N5891,"SPI BLOW MOLDING, LLC",3930 Bessemer Rd.,COLOMA,49038,BERRIEN,KALAMAZOO,DESKINSM,"3930 Bessemer Rd., COLOMA, MI 49038"
,N5895,CPM ELECTRONIC IND,29165 CALAHAN,ROSEVILLE,48066,MACOMB,WARREN,ZHUJ,"29165 CALAHAN, ROSEVILLE, MI 48066"
,N5896,ROUSH TECHNOLOGIES,11874 MARKET,LIVONIA,48150,WAYNE,DETROIT,LIVESONS2,"11874 MARKET, LIVONIA, MI 48150"
MINOR,N5897,MDNR GAYLORD REPAIR FACILITY,540 S OTSEGO AVE,GAYLORD,49735,OTSEGO,GAYLORD,LEBLANCS,"540 S OTSEGO AVE, GAYLORD, MI 49735"
MINOR,N5898,MASTER FINISH COMPANY,2020 NELSON SE,GRAND RAPIDS,49507,KENT,GRAND RAPIDS,LAZZAROA1,"2020 NELSON SE, GRAND RAPIDS, MI 49507"
SM OPT OUT,N5899,PAYNE & DOLAN INC  C35,C35 PORTABLE ASPHALT PLANT  #216-96C,IRON RIVER,49935,IRON,MARQUETTE,CONKLINM1,"C35 PORTABLE ASPHALT PLANT  #216-96C, IRON RIVER, MI 49935"
MINOR,N5901,"ATS AUTOMATION, INC.",1 ATS Drive,WIXOM,48393,OAKLAND,WARREN,KONANAHALLII,"1 ATS Drive, WIXOM, MI 48393"
MINOR,N5903,AJAX PAVING INDUSTRIES INC,14950 FIFTEEN MILE RD,STERLING HTS,48312,MACOMB,WARREN,KELLYK6,"14950 FIFTEEN MILE RD, STERLING HTS, MI 48312"
SM OPT OUT,N5904,GCI GOKOH COLDWATER INC,100 CONCEPT DR,COLDWATER,49036,BRANCH,KALAMAZOO,COLLINSC21,"100 CONCEPT DR, COLDWATER, MI 49036"
MINOR,N5905,UNOCAL,SHEPHERD RD  PORTER TWP,PORTER,48615,MIDLAND,BAY CITY,WITKOPPB,"SHEPHERD RD  PORTER TWP, PORTER, MI 48615"
,N5906,LUCAS BODY SYSTEMS,14241 FENTON RD,FENTON,48430,GENESEE,LANSING,LAMROUEXR,"14241 FENTON RD, FENTON, MI 48430"
,N5907,MULTI ARC INC,1064 CHICAGO RD,TROY,48083,OAKLAND,WARREN,AHAMMODS,"1064 CHICAGO RD, TROY, MI 48083"
MINOR,N5909,SOFT TOUCH CAR WASH INC,615 W MAIN ST,FREMONT,49412,NEWAYGO,GRAND RAPIDS,,"615 W MAIN ST, FREMONT, MI 49412"
,N5911,"TPI PETROLEUM, INC- PROPOSED GRAYLING TERMINAL",4 MILE RD SE1 4 T26N R3W SEC 32,GRAYLING,49738,CRAWFORD,GAYLORD,DICKMANR,"4 MILE RD SE1 4 T26N R3W SEC 32, GRAYLING, MI 49738"
,N5913,JOHN CARLO INC,4750 KRAFT AVE,GRAND RAPIDS,49512,KENT,GRAND RAPIDS,LAZZAROA1,"4750 KRAFT AVE, GRAND RAPIDS, MI 49512"
,N5914,IRWIN SEATING COMPANY,1125 E WASHINGTON,GREENVILLE,48838,MONTCALM,GRAND RAPIDS,,"1125 E WASHINGTON, GREENVILLE, MI 48838"
,N5920,CORT FURNITURE RENTAL,42350 GRAND RIVER,NOVI,48375,OAKLAND,WARREN,AMERU,"42350 GRAND RIVER, NOVI, MI 48375"
MINOR,N5921,T & D HEAT TREATING,1515 6TH AVE,CADILLAC,49601,WEXFORD,CADILLAC,CHILDSK,"1515 6TH AVE, CADILLAC, MI 49601"
,N5924,"QUALITY INDUSTRIAL SERVICES, INC. (QIS)",1475 HILL BRADLY RD,BATTLE CREEK,49015,CALHOUN,KALAMAZOO,CHAPELA,"1475 HILL BRADLY RD, BATTLE CREEK, MI 49015"
MINOR,N5926,ADMIRAL GAS STATION,795 GRATIOT AVE,MARYSVILLE,48040,SAINT CLAIR,WARREN,DZIADOSZM,"795 GRATIOT AVE, MARYSVILLE, MI 48040"
,N5929,LOTTE USA INC,5243 WAYNE RD,BATTLE CREEK,49015,CALHOUN,KALAMAZOO,CHAPELA,"5243 WAYNE RD, BATTLE CREEK, MI 49015"
SM OPT OUT,N5930,DELTA COLLEGE,1961 Delta Road,FRANKENLUST,48710,BAY,BAY CITY,BREWERK,"1961 Delta Road, FRANKENLUST, MI 48710"
MINOR,N5932,BODY BY BRUCE COLLISION,6200 E 11 MILE RD,WARREN,48091,MACOMB,WARREN,DZIADOSZM,"6200 E 11 MILE RD, WARREN, MI 48091"
SM OPT OUT,N5933,VCP MICHIGAN - VIENNA CHARLTON,"Sec. 12, T30N, R01W",GAYLORD,49734,OTSEGO,CADILLAC,DICKMANR,"Sec. 12, T30N, R01W, GAYLORD, MI 49734"
SM OPT OUT,N5934,VCP MICHIGAN - MAYER,"T29N-R4W, Section 24",HAYES TWP,49735,OTSEGO,CADILLAC,DICKMANR,"T29N-R4W, Section 24, HAYES TWP, MI 49735"
SM OPT OUT,N5937,LAMBDA ENERGY RESOURCES LLC - FOREST 24,10901 Canada Creek Rd,CHEBOYGAN,49721,CHEBOYGAN,GAYLORD,BOWMAND7,"10901 Canada Creek Rd, CHEBOYGAN, MI 49721"
MINOR,N5938,BREITBURN OPERATING LP. - LOVELLS 27 CPF,MC MASTERS BRIDGE RD,FREDERIC,49733,CRAWFORD,GAYLORD,RADULSKIR,"MC MASTERS BRIDGE RD, FREDERIC, MI 49733"
,N5939,LC MANUFACTURING LLC,4150 N WOLCOTT RD,LAKE CITY,49651,MISSAUKEE,CADILLAC,CHILDSK,"4150 N WOLCOTT RD, LAKE CITY, MI 49651"
MINOR,N5941,"SET ENVIRONMENTAL, INC.",1040 MARKET ST SW,GRAND RAPIDS,49503,KENT,GRAND RAPIDS,LAZZAROA,"1040 MARKET ST SW, GRAND RAPIDS, MI 49503"
,N5943,BONNETTE DESIGN INTERNATIONAL INC,861 PRODUCTIONS PLACE,HOLLAND,49423,ALLEGAN,KALAMAZOO,YAZZIEC,"861 PRODUCTIONS PLACE, HOLLAND, MI 49423"
MINOR,N5944,PASCHAL BURIAL VAULT SERVICES,431 SCHOOL ST,HUDSON,49247,LENAWEE,JACKSON,WEEMSS,"431 SCHOOL ST, HUDSON, MI 49247"
MINOR,N5946,KAWKAWLIN CHURCH FURNITURE MFG,300 SPRING ST,KAWKAWLIN,48631,BAY,BAY CITY,BREWERK,"300 SPRING ST, KAWKAWLIN, MI 48631"
,N5949,WHITING OIL AND GAS CORPORATION,600 Young Road,WHITE LAKE,48383,OAKLAND,WARREN,AHAMMODS,"600 Young Road, WHITE LAKE, MI 48383"
MINOR,N5950,A J CREMATION SERVICES INC,5489 B PERRY DR,WATERFORD,48329,OAKLAND,WARREN,ELMOUCHIR,"5489 B PERRY DR, WATERFORD, MI 48329"
MINOR,N5951,RICHTER PRECISION INC.,17741 MALYN BLVD,FRASER,48026,MACOMB,WARREN,PINGAR,"17741 MALYN BLVD, FRASER, MI 48026"
MINOR,N5952,BAGLEY PROCESSING CO,NE4 NW4 T30N R3W SEC 17,BAGLEY TWP,49504,OTSEGO,GAYLORD,ROGERSW,"NE4 NW4 T30N R3W SEC 17, BAGLEY TWP, MI 49504"
,N5953,THE CITY OF DOWAGIAC PUBLIC WORKS,203 CHESTNUT ST,DOWAGIAC,49047,CASS,KALAMAZOO,DUNLAPD,"203 CHESTNUT ST, DOWAGIAC, MI 49047"
,N5954,WALTERS DIMMICK PETROLEUM INC,1780 CLINTON RD        PAKA PLAZA SHELL,JACKSON,49202,JACKSON,JACKSON,WEEMSS,"1780 CLINTON RD        PAKA PLAZA SHELL, JACKSON, MI 49202"
MINOR,N5956,VILLAGE OF UNION CITY,106 COLDWATER ROAD,UNION CITY,49094,BRANCH,KALAMAZOO,HARRISF1,"106 COLDWATER ROAD, UNION CITY, MI 49094"
,N5959,MICHIGAN DEPARTMENT OF TRANSPORTATION,101 WOLF ST,DOWAGIAC,49047,CASS,KALAMAZOO,BENAWAYR,"101 WOLF ST, DOWAGIAC, MI 49047"
MINOR,N5960,"LAMBDA ENERGY RESOURCES, LLC - OTSEGO LAKE 26",T29N R3W SEC 26,WATERS,49797,OTSEGO,GAYLORD,TORELLOG,"T29N R3W SEC 26, WATERS, MI 49797"
,N5961,UNIVERSAL APPLICATORS INC,4617 THETFORD RD,FLINT,48505,GENESEE,LANSING,MYOTTB,"4617 THETFORD RD, FLINT, MI 48505"
MINOR,N5962,SIGNATURE CABINETRY AND MILLWORK,741 WAVERLY COURT,HOLLAND,49423,ALLEGAN,KALAMAZOO,YAZZIEC,"741 WAVERLY COURT, HOLLAND, MI 49423"
MINOR,N5967,RAAD ENTERPRISES – SUNOCO GAS STATION,750 N PONTIAC TRAIL,WALLED LAKE,48390,OAKLAND,WARREN,KONANAHALLII,"750 N PONTIAC TRAIL, WALLED LAKE, MI 48390"
MINOR,N5968,KENT MOTORS INC,204 HOMEWILD ST,JACKSON,49201,JACKSON,JACKSON,WEEMSS,"204 HOMEWILD ST, JACKSON, MI 49201"
,N5969,"HOFFMANN DIE CAST, LLC",229 KERTH ST,SAINT JOSEPH,49085,BERRIEN,KALAMAZOO,DESKINSM,"229 KERTH ST, SAINT JOSEPH, MI 49085"
,N5970,KELLOGG COMMUNITY COLLEGE,B DRIVE N,SHERIDAN TWP,49224,CALHOUN,KALAMAZOO,CHAPELA,"B DRIVE N, SHERIDAN TWP, MI 49224"
MINOR,N5973,KORTEN QUALITY SYSTEMS LIMITED,69212 POWELL,ROMEO,48065,MACOMB,WARREN,KALLUMKALS,"69212 POWELL, ROMEO, MI 48065"
MINOR,N5976,FISHER CONSTRUCTION AGGREGATES,900 S. Bradley Street,MOUNT PLEASANT,48858,ISABELLA,BAY CITY,WITKOPPB,"900 S. Bradley Street, MOUNT PLEASANT, MI 48858"
,N5977,CITY OF ANN ARBOR,415 W WASHINGTON,ANN ARBOR,48107,WASHTENAW,JACKSON,KOVALCHICKM,"415 W WASHINGTON, ANN ARBOR, MI 48107"
MINOR,N5979,WEST BAY EXPLORATION CO,SEC 33 T2N R7E 1 32,MILFORD TWP,48042,OAKLAND,WARREN,KONANAHALLII,"SEC 33 T2N R7E 1 32, MILFORD TWP, MI 48042"
,N5982,PERFORMANCE PLUS CAR WASH,2216 S STATE RD,IONIA,48846,IONIA,GRAND RAPIDS,GRINSTERNE,"2216 S STATE RD, IONIA, MI 48846"
MAJOR,N5988,CITY ENVIRONMENTAL SERVICES INC OF WATERS,11375 SHERMAN RD,FREDERIC,49733,CRAWFORD,CADILLAC,CHILDSK,"11375 SHERMAN RD, FREDERIC, MI 49733"
SM OPT OUT,N5989,SEMCO ENERGY GAS COMPANY - MORTON WELLS FACILITY,1100 GRATIOT AVE,MARYSVILLE,48040,SAINT CLAIR,WARREN,ELMOUCHIR,"1100 GRATIOT AVE, MARYSVILLE, MI 48040"
,N5990,J A JONES ENVIRONMENTAL SERVICES,3300 E ELM AVE,MONROE,48162,MONROE,JACKSON,MACLEODR,"3300 E ELM AVE, MONROE, MI 48162"
MINOR,N5992,PERSPECTIVE IN LAMINATE,2505 Industrial Rd,TROY,48084,OAKLAND,WARREN,KALLUMKALS,"2505 Industrial Rd, TROY, MI 48084"
MINOR,N5999,LIQUID SUN,6781 MAXWELL AVE,WARREN,48091,MACOMB,WARREN,LIVESONS1,"6781 MAXWELL AVE, WARREN, MI 48091"
SM OPT OUT,N6000,HOLLAND BOARD OF PUBLIC WORKS,85 E SIXTH ST,HOLLAND,49423,OTTAWA,GRAND RAPIDS,DEVRIESK1,"85 E SIXTH ST, HOLLAND, MI 49423"
SM OPT OUT,N6005,LAMBDA ENERGY RESOURCES LLC - BLUE LAKE 17,11155 TWIN LAKE RD,KALKASKA,49646,KALKASKA,CADILLAC,CHILDSK,"11155 TWIN LAKE RD, KALKASKA, MI 49646"
MAJOR,N6011,MUSKEGON COUNTY SOLID WASTE FACILITY,9366 APPLE AVE,RAVENNA,49451,MUSKEGON,GRAND RAPIDS,MORGAND2,"9366 APPLE AVE, RAVENNA, MI 49451"
MINOR,N6012,"BAY VALLEY FOODS, LLC",652 W ELM ST,WAYLAND,49348,ALLEGAN,KALAMAZOO,YAZZIEC,"652 W ELM ST, WAYLAND, MI 49348"
SM OPT OUT,N6013,CONTINENTAL ALUMINUM,29201 MILFORD RD,NEW HUDSON,48165,OAKLAND,WARREN,KONANAHALLII,"29201 MILFORD RD, NEW HUDSON, MI 48165"
MINOR,N6014,LAWRENCE IND INC,139 MARIETTE ST,PLAINWELL,49080,ALLEGAN,KALAMAZOO,YAZZIEC,"139 MARIETTE ST, PLAINWELL, MI 49080"
SM OPT OUT,N6015,PARTELLO COMPRESSOR STATION,21663 24 MILE RD,PARTELLO,49076,CALHOUN,KALAMAZOO,CHAPELA,"21663 24 MILE RD, PARTELLO, MI 49076"
SM OPT OUT,N6016,ASCENSION GENESYS HOSPITAL,ONE GENESYS PARKWAY,GRAND BLANC,48439,GENESEE,LANSING,BRUNNERJ1,"ONE GENESYS PARKWAY, GRAND BLANC, MI 48439"
MINOR,N6017,SCOTTVILLE POWER PLANT,525 West US 10,SCOTTVILLE,49454,MASON,CADILLAC,DICKMANR,"525 West US 10, SCOTTVILLE, MI 49454"
,N6018,DATA REPRODUCTIONS,1480 N ROCHESTER RD,ROCHESTER HLS,48307,OAKLAND,WARREN,KONANAHALLII,"1480 N ROCHESTER RD, ROCHESTER HLS, MI 48307"
MINOR,N6019,SHELL WESTERN E & P INC - MILLER 30 CPF,SUIDA RD,MANISTEE,49660,MANISTEE,CADILLAC,OWENSC1,"SUIDA RD, MANISTEE, MI 49660"
MINOR,N6020,LAMBDA ENERGY RESOURCES LLC - KOMERSKA 14,MILLER RD,KARLIN,49643,GRAND TRAVERSE,CADILLAC,CHILDSK,"MILLER RD, KARLIN, MI 49643"
,N6021,MILLER SQA,10201 ADAMS ST,HOLLAND,49424,OTTAWA,GRAND RAPIDS,,"10201 ADAMS ST, HOLLAND, MI 49424"
MINOR,N6023,AMERICAN AGGREGATES OF MICHIGAN INC HIGHLAND PLANT,6454 N HICKORY RIDGE RD,HIGHLAND,48442,OAKLAND,WARREN,KELLYK6,"6454 N HICKORY RIDGE RD, HIGHLAND, MI 48442"
MINOR,N6024,HURON LANDFILL CORPORATION,4151 S MCMILLAN RD,BAD AXE,48413,HURON,BAY CITY,SHAFFERA1,"4151 S MCMILLAN RD, BAD AXE, MI 48413"
