epa_class,srn,facility_name,address_line1,city,zip,county,egle_district,staff,address_full
MINOR,A6174,GENERAL MOTORS - POWERTRAIN GROUP SAGINAW,77 W. Center St.,SAGINAW,48602,SAGINAW,BAY CITY,EURICHG,"77 W. Center St., SAGINAW, MI 48602"
MAJOR,A6175,NEXTEER AUTOMOTIVE CORPORATION,3900 Holland Road,SAGINAW,48601,SAGINAW,BAY CITY,WITKOPPB,"3900 Holland Road, SAGINAW, MI 48601"
MAJOR,A6466,"TTOD LIQUIDATION, INC.",3768 N. MAIN ST.,DECKERVILLE,48427,SANILAC,BAY CITY,EURICHG,"3768 N. MAIN ST., DECKERVILLE, MI 48427"
MAJOR,B1493,MICHIGAN SUGAR COMPANY - BAY CITY,2600 S Euclid Ave,BAY CITY,48706,BAY,BAY CITY,BREWERK,"2600 S Euclid Ave, BAY CITY, MI 48706"
MAJOR,B1991,GM LLC SAGINAW METAL CASTING OPERATIONS,1629 N. WASHINGTON,SAGINAW,48601,SAGINAW,BAY CITY,MCCANNG2,"1629 N. WASHINGTON, SAGINAW, MI 48601"
MINOR,B1993,TRW INTEGRATED CHASSIS SYSTEMS,2328 E. Genesee Ave.,SAGINAW,48601,SAGINAW,BAY CITY,MCCANNG2,"2328 E. Genesee Ave., SAGINAW, MI 48601"
MAJOR,B2043,"TPOP, LLC VASSAR FOUNDRY",700 E. Huron Ave.,VASSAR,48768,TUSCOLA,BAY CITY,BREWERK,"700 E. Huron Ave., VASSAR, MI 48768"
SM OPT OUT,B2460,GENERAL MOTORS LLC - BAY CITY,1001 Woodside Ave.,BAY CITY,48708,BAY,BAY CITY,BREWERK,"1001 Woodside Ave., BAY CITY, MI 48708"
MINOR,B2494,"CARMET COMPANY, MATERIALS DIVISION",625 E Soper Rd,BAD AXE,48413,HURON,BAY CITY,MCCANNG2,"625 E Soper Rd, BAD AXE, MI 48413"
MAJOR,B2644,HEMLOCK SEMICONDUCTOR OPERATIONS LLC,12334  Geddes Rd.,HEMLOCK,48626,SAGINAW,BAY CITY,GENTLEN,"12334  Geddes Rd., HEMLOCK, MI 48626"
MAJOR,B2815,DTE - ELECTRIC COMPANY HARBOR BEACH POWER PLANT,755 N. Huron,HARBOR BEACH,48441,HURON,BAY CITY,MCCANNG2,"755 N. Huron, HARBOR BEACH, MI 48441"
MAJOR,B2840,CONSUMERS ENERGY D.E. KARN FACILITY,2742 N. Weadock Hwy.,ESSEXVILLE,48732,BAY,BAY CITY,WITKOPPB,"2742 N. Weadock Hwy., ESSEXVILLE, MI 48732"
MAJOR,B2873,MICHIGAN SUGAR COMPANY  -  SEBEWAING FACTORY,763 N Beck St,SEBEWAING,48759,HURON,BAY CITY,WITKOPPB,"763 N Beck St, SEBEWAING, MI 48759"
MINOR,B2874,MICHIGAN SUGAR COMPANY - CARROLLTON FACTORY,341 Sugar,CARROLLTON,48724,SAGINAW,BAY CITY,MCCANNG2,"341 Sugar, CARROLLTON, MI 48724"
MAJOR,B2875,"MICHIGAN SUGAR COMPANY, CARO FACTORY",819 Peninsular St.,CARO,48723,TUSCOLA,BAY CITY,SHAFFERA1,"819 Peninsular St., CARO, MI 48723"
MAJOR,B2876,"MICHIGAN SUGAR COMPANY, CROSWELL FACTORY",159 S Howard Ave,CROSWELL,48422,SANILAC,BAY CITY,WITKOPPB,"159 S Howard Ave, CROSWELL, MI 48422"
,B3606,"DELPHI SAGINAW STEERING SYSTEMS, PLANT 2",1400  Holmes St.,SAGINAW,48602,SAGINAW,BAY CITY,EURICHG,"1400  Holmes St., SAGINAW, MI 48602"
